Algorithm,Case,Size,Duration (microseconds)
Merge Sort,Best Case,100,114
Quick Sort,Best Case,100,18
Merge Sort,Average Case,100,95
Quick Sort,Average Case,100,16
Merge Sort,Worst Case,100,89
Quick Sort,Worst Case,100,66
Merge Sort,Best Case,500,476
Quick Sort,Best Case,500,96
Merge Sort,Average Case,500,522
Quick Sort,Average Case,500,101
Merge Sort,Worst Case,500,464
Quick Sort,Worst Case,500,1524
Merge Sort,Best Case,1000,916
Quick Sort,Best Case,1000,186
Merge Sort,Average Case,1000,968
Quick Sort,Average Case,1000,174
Merge Sort,Worst Case,1000,828
Quick Sort,Worst Case,1000,4715
Merge Sort,Best Case,5000,4101
Quick Sort,Best Case,5000,898
Merge Sort,Average Case,5000,4102
Quick Sort,Average Case,5000,862
Merge Sort,Worst Case,5000,3190
Quick Sort,Worst Case,5000,68940
Merge Sort,Best Case,10000,4500
Quick Sort,Best Case,10000,1152
Merge Sort,Average Case,10000,5224
Quick Sort,Average Case,10000,1156
Merge Sort,Worst Case,10000,4479
Quick Sort,Worst Case,10000,246437
Merge Sort,Best Case,20000,9377
Quick Sort,Best Case,20000,2441
Merge Sort,Average Case,20000,10985
Quick Sort,Average Case,20000,2440
Merge Sort,Worst Case,20000,9240
Quick Sort,Worst Case,20000,990902
Merge Sort,Best Case,30000,14231
Quick Sort,Best Case,30000,3781
Merge Sort,Average Case,30000,16887
Quick Sort,Average Case,30000,3862
Merge Sort,Worst Case,30000,14299
Quick Sort,Worst Case,30000,2302789
Merge Sort,Best Case,40000,19847
Quick Sort,Best Case,40000,5381
Merge Sort,Average Case,40000,23248
Quick Sort,Average Case,40000,5238
Merge Sort,Worst Case,40000,19677
Quick Sort,Worst Case,40000,3933698
Merge Sort,Best Case,50000,24289
Quick Sort,Best Case,50000,6586
Merge Sort,Average Case,50000,28737
Quick Sort,Average Case,50000,7061
Merge Sort,Worst Case,50000,24958
Quick Sort,Worst Case,50000,6467000
Merge Sort,Best Case,100000,52490
Quick Sort,Best Case,100000,14728
Merge Sort,Average Case,100000,162912
Quick Sort,Average Case,100000,18605
Merge Sort,Worst Case,100000,55218
Quick Sort,Worst Case,100000,25205960
